,pvalue
random892,0.00015984815714539945
random893,6.0658436929508424e-05
random894,7.697609018310259e-05
random895,0.00015042023787144732
random896,6.884341558383603e-05
random897,0.0020158100688253693
random898,4.4745300121861546e-05
random899,6.399419421001275e-05
random900,5.983706907856742e-05
random901,5.6645694452897535e-05
random902,0.00043474747816944466
random903,0.0017183060596168977
random904,1.4990268637426898e-05
random905,0.0005445528635740192
random906,0.0001722342856755752
random907,0.00022966530928658814
random908,8.696414668553387e-05
random909,0.0003019610415739911
random910,5.5016266878438575e-05
random911,0.0035357217553389176
random912,1.817632870179509e-05
random913,0.00020543397893212946
random914,0.00046955247765372986
random915,6.987765865151498e-05
random916,1.644172511096865e-05
random917,0.00012937981953731312
random918,0.00015901552611877185
random919,0.002379661211262264
random920,1.5152942275748854e-05
random921,0.00021880721918628496
random922,4.512994983244431e-05
random923,0.00011023776754188954
random924,0.000582163948614102
random925,0.00013456976033506587
random926,2.1850510873183054e-05
random927,3.2735836304142614e-05
random928,0.00012315614799009324
random929,0.0002880173144029414
random930,8.625116164850614e-05
random931,6.16963554935414e-05
random932,0.0038458686764197515
random933,9.208201290877686e-05
random934,4.44209664234527e-05
random935,0.0001943011711373974
random936,1.56823961921682e-05
random937,9.079285105780586e-05
random938,8.208519634085255e-05
random939,9.25568984232867e-05
random940,0.0005167381178370393
random941,8.288501060569109e-05
random942,1.0865559590863502e-05
random943,3.987139290405707e-05
random944,8.13277772952696e-06
random945,6.539586061640807e-05
random946,0.001412569849443172
random947,0.0006709518591598778
random948,0.0056495950773660375
random949,3.934359593273145e-05
