gene,uni_marker_gene,cv_values
b0231,b0231,0.0558032084952144
b4203,b3986,0.0512884348584993
b2492,b3009,0.050299032434275
b0723,b1632,0.0562829946949234
b0724,b0029,0.0413727101923496
b2451,b2743,0.0467318898046332
b2935,b1813,0.0398464631008616
b0881,b0885,0.0453861367666677
b2553,b3147,0.0477628634950571
b0922,b0924,0.0462493858322762
b0913,b0959,0.0503104703422916
b2314,b3388,0.0456086833486586
b3357,b3357,0.0537934267613504
b1128,b1128,0.0457238937849552
b3417,b0403,0.0514501807498195
b0058,b0058,0.0552636101484126
b0967,b4371,0.0551684626150406
b0595,b1094,0.0457948491968889
b2195,b2195,0.0439110707567087
b0196,b3147,0.0477628634950571
b3385,b0155,0.0415921756683941
b0158,b0158,0.0476105913281133
b3459,b3459,0.0580194243973177
b0418,b0418,0.0426014665306704
b1432,b1432,0.0516696576084567
b3149,b3149,0.049754142450829
b3745,b3745,0.0586023169612696
b4018,b0506,0.047689372801924
b0006,b0006,0.0525255465763839
b0962,b0962,0.0374569704831026
b0584,b0605,0.0580370965070825
b0627,b3839,0.0563204655514137
b0133,b0425,0.0536522464950644
b1767,b1767,0.0597675407970833
b2798,b2798,0.0571267135286664
b0890,b0890,0.0598502368240515
b1804,b1804,0.0493048216262868
b4196,b4196,0.0417389389228088
b3582,b4197,0.0512676754217648
b0200,b0200,0.0401841271010398
b1069,b1069,0.0448248590198982
b3547,b0491,0.0465173903865079
b2830,b2830,0.0498459966324086
b4162,b4162,0.0542057808157327
b0750,b0109,0.0492680932760629
b0832,b0832,0.0472473908587091
b0887,b0832,0.0472473908587091
b2528,b2528,0.0559427111847973
b2378,b1054,0.0425441977859493
b2469,b2193,0.0570218883533783
b3811,b4260,0.055049816216988
b0053,b0053,0.051118631663111
b2804,b2804,0.0532120015711709
b0772,b3032,0.0526611641216135
b1859,b1294,0.0439629480812198
b0633,b3388,0.0456086833486586
b3125,b2787,0.0463823505791236
b0377,b2178,0.0530817160101189
b0765,b0765,0.0581114321226397
b1663,b0879,0.0576467968558815
b0879,b0879,0.0576467968558815
b1433,b1433,0.0537280418912185
b1117,b1118,0.0511799308496162
b2872,b0932,0.0533127410197733
b3743,b0447,0.0569969199830173
b2793,b2793,0.0594808264906027
b1304,b0476,0.0485779878014748
b2427,b0239,0.0577930688872196
b4168,b4168,0.0515160623515504
b0170,b3866,0.0514096709808495
b3250,b3250,0.053901986336852
b2753,b4146,0.0400299831012149
b3911,b3911,0.0539876618488782
b0531,b0944,0.057038424976309
b0481,b0481,0.0417635152725545
b3253,b3253,0.0550143546659074
b1058,b2218,0.043644278176416
b2667,b3010,0.0401325644647335
b3697,b3697,0.0598683974518888
b3290,b0662,0.0451169120967637
b3228,b3228,0.0505568153703449
b3415,b3438,0.0456846453856331
b3930,b3930,0.0531980620592777
b2515,b2515,0.0503342588881264
b1912,b0418,0.0426014665306704
b1865,b1812,0.0414892499477327
b0571,b1111,0.0553274329355995
b0607,b2218,0.043644278176416
b3360,b1812,0.0414892499477327
b2436,b2436,0.0513173237228126
b0573,b3822,0.0596268156474603
b0171,b1098,0.0556547598147077
b2712,b2712,0.0570272679395532
b3844,b3844,0.0547549049387348
b3794,b3794,0.0472100856833249
b3449,b3449,0.055656212965
b0443,b0494,0.0448916634745682
b3034,b3034,0.0481769265676937
b2381,b2381,0.0579126115586496
b3054,b3054,0.0390815175391812
b0841,b3057,0.0435247815262172
b3399,b3399,0.0527273673423379
b2763,b0386,0.0410592529662651
b2016,b2304,0.041427649794968
b0178,b0053,0.051118631663111
b2293,b2291,0.0415422453147199
b2889,b0029,0.0413727101923496
b3609,b0053,0.051118631663111
b3510,b0055,0.0379539217108001
b0956,b3030,0.0578036530864769
b0509,b1779,0.0512525945540246
b2742,b2742,0.0587286830287833
b3961,b3961,0.0512535478832389
b3945,b0207,0.0573849804491435
b3234,b3234,0.0364795471441631
b1497,b2712,0.0570272679395532
b0438,b0438,0.0537595510052317
b1482,b0605,0.0580370965070825
b2835,b2835,0.0555924093539334
b4171,b4171,0.0549751286863373
b3529,b3529,0.0498224980151606
b3412,b0239,0.0577930688872196
b2467,b2467,0.0480156305406107
b0807,b0807,0.0485908125438411
b3465,b3465,0.0508610681114705
b4371,b4371,0.0551684626150406
b3451,b1294,0.0439629480812198
b0587,b3915,0.0396498327551522
b4544,b1791,0.0417187838134861
b4255,b4255,0.0578936206218874
b3857,b3857,0.054047721662288
b0098,b3839,0.0563204655514137
b0168,b0932,0.0533127410197733
b0503,b1764,0.0467948312237862
b2052,b3619,0.0504197161625438
b2600,b2411,0.0559681055655784
b2765,b2765,0.0575680953073929
b2806,b3146,0.0572795159958386
b1530,b2435,0.0472390385230131
b0619,b2786,0.057745523005142
b1953,b0155,0.0415921756683941
b1330,b2218,0.043644278176416
b2952,b2952,0.0533241688710887
b4065,b3849,0.0449157790255047
b1035,b1035,0.056069213198592
b0191,b0191,0.0598009656431605
b3787,b3787,0.0598501581811827
b0195,b0195,0.0465352409297039
