term_id	marker_gene	cv_values
GO:0004848	b0505	0.0666021153444392
GO:0004849	b3355	0.0542820611238826
GO:0004850	b3831	0.0937952948129656
GO:0004851	b3803	0.0535466048133093
GO:0004852	b3804	0.0463312621332809
GO:0004853	b3997	0.0551193722644654
GO:0004854	b2867	0.0584722519399479
GO:0004855	b2866	0.0833241603479909
GO:0004856	b3564	0.0579044816768033
GO:0004857	b3204	0.0447846498717143
GO:0004866	b2520	0.0524774981361011
GO:0004871	b3529	0.0498224980151606
GO:0004872	b0150	0.0776567131395939
GO:0004888	b1421	0.104352389841306
GO:0004970	b0863	0.100870847010669
GO:0005048	b1591	0.0597111859731504
GO:0005085	b0170	0.0950792607593994
GO:0005096	b3866	0.0514096709808495
GO:0005198	b2528	0.0559427111847973
GO:0005215	b0818	0.0531203101451913
GO:0005247	b0155	0.0415921756683941
GO:0005254	b1592	0.0835198792383607
GO:0005262	b3196	0.0725803188947137
GO:0005267	b3849	0.0449157790255047
GO:0005274	b0511	0.108319979655479
GO:0005294	b4141	0.0509984978427125
GO:0005295	b3089	0.0837000861379776
GO:0005297	b4111	0.0791661608465765
GO:0005298	b1015	0.106016775205264
GO:0005304	b0401	0.0609621886497908
GO:0005315	b4020	0.0550411983024796
GO:0005319	b0914	0.0614500476769963
GO:0005337	b2406	0.0680485903825072
GO:0005344	b2552	0.0682579839324474
GO:0005345	b4064	0.0678151710920064
GO:0005351	b3899	0.0619618691517229
GO:0005363	b1621	0.0815710079951131
GO:0005375	b0574	0.106113353807205
GO:0005384	b3040	0.0632647011803538
GO:0005385	b3040	0.0632647011803538
GO:0005402	b4476	0.0717427010535283
GO:0005436	b4020	0.0550411983024796
GO:0005452	b1223	0.104231951638156
GO:0005504	b2552	0.0682579839324474
GO:0005506	b2515	0.0503342588881264
GO:0005507	b2593	0.0500268003160679
GO:0005509	b3821	0.0586480618732268
GO:0005515	b3339	0.036843390589445
GO:0005524	b2184	0.0372385995216239
GO:0005525	b3339	0.036843390589445
GO:0005528	b0028	0.0578193790160966
GO:0005537	b0533	0.0799488574479046
GO:0005542	b2898	0.0681045920558744
GO:0005543	b3192	0.0458915613308808
GO:0005548	b3191	0.0451987779287547
GO:0005576	b3531	0.0548060293700757
GO:0005618	b1316	0.07598409655098
GO:0005622	b2709	0.0421054902464237
GO:0005623	b2542	0.056870886139062
GO:0005634	b4362	0.0485178551417763
GO:0005694	b3019	0.0390292237180057
GO:0005737	b3339	0.036843390589445
GO:0005739	b1698	0.0630281355487077
GO:0005786	b2610	0.0783275136450571
GO:0005829	b2495	0.0368856875274702
GO:0005840	b3228	0.0505568153703449
GO:0005856	b3247	0.0500291483091782
GO:0005886	b3339	0.036843390589445
GO:0005887	b2568	0.0394775273281152
GO:0005945	b3916	0.0563555388803929
GO:0005948	b3671	0.0869193325134417
GO:0005950	b3360	0.0626291790668163
GO:0005960	b2904	0.088943712757243
GO:0005971	b2234	0.0996594153883604
GO:0005975	b4196	0.0417389389228088
GO:0005977	b3416	0.0782798099793601
GO:0005978	b0688	0.0578762584813744
GO:0005980	b3431	0.0636146487653584
GO:0005985	b1309	0.0964855980535672
GO:0005986	b4232	0.0791777445972617
GO:0005991	b4241	0.0516969047457022
GO:0005993	b3519	0.076136011096877
GO:0005998	b3564	0.0579044816768033
GO:0006000	b0825	0.0748454308916585
GO:0006001	b4232	0.0791777445972617
GO:0006002	b3916	0.0563555388803929
GO:0006004	b2805	0.0659438672095756
GO:0006006	b2544	0.0499503437001575
GO:0006007	b3916	0.0563555388803929
GO:0006011	b3533	0.0721631364780223
GO:0006012	b2837	0.0481540624576391
GO:0006013	b0732	0.0670574911017588
GO:0006014	b2100	0.0503271677224401
GO:0006015	b4094	0.0587455207463576
GO:0006020	b2533	0.0657524162027755
GO:0006027	b1617	0.0635933543694359
GO:0006032	b3338	0.0717883961258133
GO:0006040	b1640	0.0670821405158417
GO:0006044	b1119	0.0578525754564633
GO:0006046	b0677	0.0514064278366701
GO:0006048	b0678	0.069218784427919
GO:0006051	b3222	0.08126285633585
GO:0006065	b3787	0.0598501581811827
GO:0006069	b0356	0.0890293154816849
GO:0006071	b2930	0.0496262663425753
GO:0006083	b2296	0.0750321787084493
GO:0006084	b2920	0.065326580453809
GO:0006085	b2296	0.0750321787084493
GO:0006086	b0115	0.106143324203273
GO:0006090	b0116	0.0743895010409961
GO:0006094	b2930	0.0496262663425753
GO:0006096	b1779	0.0512525945540246
GO:0006097	b4018	0.0620396621905881
GO:0006098	b3386	0.0502780939169159
GO:0006099	b2210	0.0731112490335762
GO:0006103	b0116	0.0743895010409961
GO:0006104	b0729	0.0881825813573988
GO:0006105	b2897	0.0816592177096087
GO:0006106	b1611	0.10432974080467
GO:0006108	b3236	0.0749406450693015
GO:0006113	b3236	0.0749406450693015
GO:0006115	b1241	0.0975295485499379
GO:0006119	b0733	0.0943112981632809
GO:0006124	b2236	0.075108609361976
GO:0006139	b2949	0.0620364982472836
GO:0006144	b0030	0.0690470224029138
GO:0006145	b0505	0.0666021153444392
GO:0006146	b3135	0.0574197779609317
GO:0006148	b2407	0.102854250849276
GO:0006149	b2407	0.102854250849276
GO:0006150	b2867	0.0584722519399479
GO:0006152	b4384	0.0680163684406082
GO:0006154	b1623	0.0797275604534479
GO:0006161	b2407	0.102854250849276
GO:0006163	b2954	0.0919177300812735
GO:0006164	b4177	0.0727531281523135
GO:0006166	b2867	0.0584722519399479
GO:0006168	b0125	0.0513144216056952
GO:0006172	b0474	0.096250713288739
GO:0006177	b2508	0.101790993863808
GO:0006178	b0125	0.0513144216056952
GO:0006183	b2508	0.101790993863808
GO:0006189	b4005	0.103184491957339
GO:0006203	b2781	0.067993767647817
GO:0006206	b3355	0.0542820611238826
GO:0006207	b4196	0.0417389389228088
GO:0006208	b2147	0.088747031645449
GO:0006212	b1539	0.0787572432586862
GO:0006217	b2143	0.103647204066719
GO:0006220	b4382	0.0868180880825514
GO:0006221	b3642	0.0612137902868993
GO:0006222	b3355	0.0542820611238826
GO:0006225	b0171	0.0852728874466341
GO:0006226	b2291	0.0415422453147199
GO:0006227	b1098	0.0556547598147077
GO:0006229	b2065	0.0557414520796517
GO:0006231	b2827	0.0489070100170775
GO:0006233	b1098	0.0556547598147077
GO:0006235	b2827	0.0489070100170775
GO:0006241	b2780	0.0722439676226581
GO:0006259	b4162	0.0542057808157327
GO:0006260	b0924	0.0462493858322762
GO:0006261	b4362	0.0485178551417763
GO:0006265	b3019	0.0390292237180057
GO:0006266	b2411	0.0559681055655784
GO:0006267	b4362	0.0485178551417763
GO:0006268	b3019	0.0390292237180057
GO:0006269	b4362	0.0485178551417763
GO:0006270	b3935	0.0588599438303597
