term_id	marker_gene	cv_values
GO:0005198	b2528	0.0559427111847973
GO:0005215	b0818	0.0531203101451913
GO:0005247	b0155	0.0415921756683941
GO:0005267	b3849	0.0449157790255047
GO:0005294	b4141	0.0509984978427125
GO:0005315	b4020	0.0550411983024796
GO:0005436	b4020	0.0550411983024796
GO:0005506	b2515	0.0503342588881264
GO:0005507	b2593	0.0500268003160679
GO:0005509	b3821	0.0586480618732268
GO:0005515	b3339	0.036843390589445
GO:0005524	b2184	0.0372385995216239
GO:0005525	b3339	0.036843390589445
GO:0005528	b0028	0.0578193790160966
GO:0005543	b3192	0.0458915613308808
GO:0005548	b3191	0.0451987779287547
GO:0008026	b1114	0.0404518550762541
GO:0008047	b1105	0.0514583868274806
GO:0008080	b3790	0.0538086530548154
GO:0008094	b4389	0.0408700475611585
GO:0008106	b0493	0.0421418175575168
GO:0008126	b0476	0.0485779878014748
GO:0008127	b3439	0.0468743817835666
GO:0008144	b0149	0.0434720658298682
GO:0008198	b1128	0.0457238937849552
GO:0008199	b3891	0.0575119215822212
GO:0008233	b3234	0.0364795471441631
GO:0008235	b4260	0.055049816216988
GO:0008236	b4190	0.0481417350341452
GO:0008237	b2472	0.0420484542835586
GO:0008251	b2559	0.053859645811908
GO:0008252	b2291	0.0415422453147199
GO:0008270	b0200	0.0401841271010398
GO:0008310	b2011	0.0520148207977049
GO:0008379	b1710	0.0598804849146265
GO:0008408	b1844	0.0442041088807822
GO:0008422	b2901	0.0456400923145189
GO:0008425	b2232	0.0473760615416884
GO:0008428	b3929	0.0498990522541638
GO:0008448	b0677	0.0514064278366701
GO:0008460	b3788	0.0491792200793261
GO:0008477	b3399	0.0527273673423379
GO:0008478	b2418	0.0555285342183659
GO:0008483	b2379	0.0534263686164533
GO:0008531	b0025	0.0526761493704915
GO:0008534	b3635	0.0586708645185296
GO:0008559	b0449	0.0482406930448806
GO:0008565	b1209	0.0527912580601325
GO:0008641	b2812	0.0383493352846142
GO:0008658	b0149	0.0434720658298682
GO:0008664	b0147	0.0587483318649306
GO:0008677	b0425	0.0536522464950644
GO:0008681	b2907	0.0508303492142024
GO:0008682	b0662	0.0451169120967637
GO:0008689	b2232	0.0473760615416884
GO:0008690	b0918	0.0588808825038396
GO:0008695	b2542	0.056870886139062
GO:0008696	b1096	0.0575008266656303
GO:0008706	b2901	0.0456400923145189
GO:0008712	b3619	0.0504197161625438
GO:0008713	b3621	0.0523744233941729
GO:0008716	b0381	0.0481127918170893
GO:0008725	b3549	0.0390310609633677
GO:0008732	b0870	0.0515895446006093
GO:0008742	b4198	0.0534815396377735
GO:0008745	b2435	0.0472390385230131
GO:0008753	b3028	0.0514558698967522
GO:0008757	b2232	0.0473760615416884
GO:0008770	b0404	0.0594985690201052
GO:0008779	b2836	0.0430477076543461
GO:0008781	b3198	0.0453333544454145
GO:0008782	b0159	0.046152334686234
GO:0008784	b4053	0.0572671257979149
GO:0008789	b3091	0.046153231126525
GO:0008792	b2938	0.0575058394554264
GO:0008794	b2495	0.0368856875274702
GO:0008810	b3531	0.0548060293700757
GO:0008813	b4039	0.0586054609330414
GO:0008817	b1270	0.0544588010392509
GO:0008818	b1992	0.0562892370656038
GO:0008829	b2065	0.0557414520796517
GO:0008837	b3809	0.055059507458149
GO:0008851	b2440	0.0477562093537782
GO:0008852	b2011	0.0520148207977049
